CET,Max TemperatureC,Mean TemperatureC,Min TemperatureC,Dew PointC,MeanDew PointC,Min DewpointC,Max Humidity,Mean Humidity,Min Humidity,Max Sea Level PressurehPa,Mean Sea Level PressurehPa,Min Sea Level PressurehPa,Max VisibilityKm,Mean VisibilityKm,Min VisibilitykM,Max Wind SpeedKm/h,Mean Wind SpeedKm/h,Max Gust SpeedKm/h,Precipitationmm,CloudCover,Events,WindDirDegrees
2013-1-12,12,s1_below_10,4,7,s4_4_up,4,100,s4_71_up,57,1022,s3_1005_1025,1014,31,s2_3_15,1,34,s1_below_12,50,s1_below_4,4,Fog,s3_183_297
2013-1-13,8,s1_below_10,3,5,s3_n5_4,-3,100,s3_49_71,43,1019,s3_1005_1025,1013,31,s2_3_15,4,27,s2_12_22,45,s1_below_4,3,Rain,s3_183_297
2013-1-14,10,s1_below_10,0,1,s3_n5_4,-3,93,s3_49_71,32,1023,s3_1005_1025,1019,31,s2_3_15,10,26,s2_12_22,26,s1_below_4,2,,s3_183_297
2013-1-15,11,s1_below_10,2,1,s3_n5_4,-1,81,s3_49_71,37,1022,s3_1005_1025,1017,31,s3_15_23,10,39,s2_12_22,55,s1_below_4,1,,s3_183_297
2013-1-16,10,s1_below_10,6,8,s3_n5_4,-1,93,s4_71_up,45,1020,s3_1005_1025,1010,31,s2_3_15,7,37,s3_22_28,64,s1_below_4,4,Rain,s3_183_297
2013-1-17,12,s1_below_10,5,6,s3_n5_4,3,87,s3_49_71,47,1016,s3_1005_1025,1011,31,s2_3_15,10,29,s2_12_22,42,s1_below_4,2,,s3_183_297
2013-1-18,13,s2_10_14,8,11,s4_4_up,6,94,s4_71_up,71,1013,s3_1005_1025,999,31,s2_3_15,10,42,s3_22_28,61,s1_below_4,5,,s3_183_297
2013-1-19,10,s1_below_10,6,10,s4_4_up,1,100,s4_71_up,61,999,s1_below_991,980,31,s2_3_15,5,55,s3_22_28,85,s2_4_17,5,Rain,s3_183_297
2013-1-20,9,s1_below_10,3,6,s3_n5_4,-2,100,s3_49_71,42,1006,s2_991_1005,992,31,s2_3_15,10,32,s2_12_22,53,s1_below_4,3,Rain,s3_183_297
2013-1-21,8,s1_below_10,4,6,s3_n5_4,-5,100,s3_49_71,36,1014,s3_1005_1025,1002,31,s2_3_15,10,35,s2_12_22,47,s1_below_4,2,Rain,s3_183_297
2013-1-22,5,s1_below_10,-1,4,s3_n5_4,-5,100,s4_71_up,44,1015,s3_1005_1025,1004,31,s2_3_15,4,24,s2_12_22,53,s1_below_4,5,Rain-Snow,s3_183_297
2013-1-23,7,s1_below_10,-1,5,s3_n5_4,-4,93,s3_49_71,42,1017,s3_1005_1025,1006,31,s2_3_15,10,39,s2_12_22,63,s1_below_4,2,Rain,s3_183_297
2013-1-24,12,s1_below_10,4,7,s3_n5_4,-3,93,s3_49_71,29,1016,s3_1005_1025,1008,31,s2_3_15,10,34,s3_22_28,53,s1_below_4,2,Rain,s3_183_297
2013-1-25,11,s1_below_10,0,6,s3_n5_4,-2,100,s4_71_up,56,1020,s3_1005_1025,1015,31,s2_3_15,10,16,s1_below_12,32,s1_below_4,3,,s3_183_297
2013-1-26,18,s1_below_10,2,8,s3_n5_4,-7,100,s3_49_71,14,1021,s3_1005_1025,1015,31,s2_3_15,0,29,s1_below_12,42,s1_below_4,2,Fog,s1_below_104
2013-1-27,10,s1_below_10,1,8,s3_n5_4,-2,93,s4_71_up,64,1024,s3_1005_1025,1015,31,s2_3_15,8,39,s1_below_12,60,s1_below_4,5,Rain,s3_183_297
2013-1-28,13,s1_below_10,1,2,s3_n5_4,-2,87,s3_49_71,41,1030,s4_1025_up,1019,31,s3_15_23,10,26,s2_12_22,39,s1_below_4,1,,s3_183_297
2013-1-29,12,s1_below_10,-2,3,s3_n5_4,-3,100,s4_71_up,50,1033,s4_1025_up,1029,23,s3_15_23,11,10,s1_below_12,,s1_below_4,,,s4_297_up
2013-1-30,14,s1_below_10,-1,6,s3_n5_4,-2,100,s4_71_up,53,1034,s4_1025_up,1029,31,s3_15_23,8,11,s1_below_12,,s1_below_4,,,s1_below_104
2013-1-31,16,s1_below_10,0,7,s3_n5_4,-1,100,s4_71_up,54,1036,s4_1025_up,1030,13,s2_3_15,3,10,s1_below_12,,s1_below_4,,,s4_297_up
2013-2-1,13,s1_below_10,0,8,s4_4_up,1,100,s4_71_up,59,1032,s3_1005_1025,1014,31,s2_3_15,0,35,s1_below_12,53,s1_below_4,4,Fog-Rain,s3_183_297
2013-2-2,9,s1_below_10,4,9,s3_n5_4,-3,94,s3_49_71,35,1024,s3_1005_1025,1012,31,s2_3_15,10,47,s4_28_up,61,s1_below_4,3,Rain,s4_297_up
2013-2-3,9,s1_below_10,3,-1,s3_n5_4,-4,65,s3_49_71,27,1030,s4_1025_up,1023,31,s2_3_15,10,39,s3_22_28,58,s1_below_4,1,,s4_297_up
2013-2-4,16,s1_below_10,-2,4,s3_n5_4,-4,87,s3_49_71,35,1034,s4_1025_up,1028,31,s2_3_15,10,11,s1_below_12,23,s1_below_4,1,,s3_183_297
2013-2-5,16,s1_below_10,-1,5,s3_n5_4,-2,100,s4_71_up,29,1030,s3_1005_1025,1020,31,s3_15_23,10,27,s1_below_12,34,s1_below_4,1,,s4_297_up
2013-2-6,11,s1_below_10,4,1,s3_n5_4,-5,81,s3_49_71,33,1021,s3_1005_1025,1017,31,s2_3_15,10,53,s3_22_28,64,s1_below_4,2,Rain,s4_297_up
2013-2-7,9,s1_below_10,2,-3,s3_n5_4,-6,65,s2_35_49,25,1026,s3_1005_1025,1020,31,s2_3_15,10,27,s2_12_22,,s1_below_4,3,,s4_297_up
2013-2-8,10,s1_below_10,-1,0,s3_n5_4,-4,80,s3_49_71,25,1025,s3_1005_1025,1016,31,s2_3_15,10,42,s1_below_12,63,s1_below_4,4,,s1_below_104
2013-2-9,11,s1_below_10,1,0,s3_n5_4,-4,75,s3_49_71,34,1026,s3_1005_1025,1020,31,s2_3_15,10,21,s1_below_12,27,s1_below_4,3,,s4_297_up
2013-2-10,10,s1_below_10,-2,6,s3_n5_4,-4,93,s4_71_up,40,1027,s3_1005_1025,1008,31,s2_3_15,7,52,s2_12_22,74,s1_below_4,5,Rain,s3_183_297
2013-2-11,8,s1_below_10,3,0,s3_n5_4,-6,81,s3_49_71,32,1012,s3_1005_1025,1008,31,s2_3_15,10,40,s3_22_28,47,s1_below_4,2,,s3_183_297
2013-2-12,11,s1_below_10,-2,0,s3_n5_4,-5,86,s3_49_71,28,1020,s3_1005_1025,1012,31,s2_3_15,10,27,s2_12_22,42,s1_below_4,1,,s3_183_297
2013-2-13,15,s1_below_10,1,5,s3_n5_4,-1,93,s3_49_71,45,1024,s3_1005_1025,1019,31,s2_3_15,10,14,s1_below_12,,s1_below_4,3,,s1_below_104
2013-2-14,16,s1_below_10,0,5,s3_n5_4,-1,100,s4_71_up,40,1027,s3_1005_1025,1021,31,s3_15_23,10,10,s1_below_12,,s1_below_4,,,s1_below_104
2013-2-15,16,s1_below_10,0,4,s3_n5_4,-2,100,s3_49_71,38,1025,s3_1005_1025,1019,31,s3_15_23,10,10,s1_below_12,,s1_below_4,1,,s4_297_up
2013-2-16,13,s1_below_10,0,5,s3_n5_4,-2,100,s4_71_up,44,1023,s3_1005_1025,1016,19,s2_3_15,11,11,s1_below_12,27,s1_below_4,8,,s1_below_104
2013-2-17,11,s1_below_10,0,7,s3_n5_4,1,100,s4_71_up,59,1018,s3_1005_1025,1012,19,s2_3_15,5,21,s1_below_12,48,s1_below_4,5,Rain,s3_183_297
2013-2-18,13,s1_below_10,6,8,s4_4_up,2,100,s4_71_up,47,1014,s3_1005_1025,1010,31,s2_3_15,3,13,s1_below_12,32,s1_below_4,5,Rain,s2_104_183
2013-2-19,11,s1_below_10,4,9,s4_4_up,3,94,s4_71_up,70,1013,s3_1005_1025,1009,19,s2_3_15,7,29,s1_below_12,,s1_below_4,5,Rain,s2_104_183
2013-2-20,13,s1_below_10,7,9,s4_4_up,5,100,s4_71_up,55,1014,s3_1005_1025,1012,31,s2_3_15,3,19,s1_below_12,39,s1_below_4,4,Rain,s3_183_297
2013-2-21,10,s1_below_10,7,9,s4_4_up,3,94,s4_71_up,69,1014,s3_1005_1025,1007,31,s2_3_15,10,23,s2_12_22,50,s1_below_4,5,Rain,s3_183_297
2013-2-22,12,s1_below_10,6,8,s4_4_up,4,100,s4_71_up,53,1007,s2_991_1005,999,31,s2_3_15,5,29,s2_12_22,50,s1_below_4,5,Rain,s3_183_297
2013-2-23,6,s1_below_10,1,5,s3_n5_4,-8,93,s3_49_71,28,1017,s3_1005_1025,999,31,s2_3_15,10,45,s3_22_28,58,s1_below_4,2,,s4_297_up
2013-2-24,8,s1_below_10,-2,2,s3_n5_4,-8,100,s3_49_71,25,1022,s3_1005_1025,1016,31,s2_3_15,10,29,s1_below_12,47,s1_below_4,2,Rain,s4_297_up
2013-2-25,8,s1_below_10,0,-3,s2_n10_n5,-8,70,s3_49_71,25,1023,s3_1005_1025,1019,31,s2_3_15,10,32,s2_12_22,53,s1_below_4,2,,s1_below_104
2013-2-26,8,s1_below_10,-2,-2,s3_n5_4,-6,75,s3_49_71,34,1024,s3_1005_1025,1017,31,s2_3_15,10,21,s1_below_12,,s1_below_4,3,,s4_297_up
2013-2-27,6,s1_below_10,1,0,s3_n5_4,-4,81,s3_49_71,46,1020,s3_1005_1025,1014,31,s2_3_15,4,19,s1_below_12,,s1_below_4,5,Rain-Snow,s1_below_104
2013-2-28,5,s1_below_10,2,2,s3_n5_4,-4,87,s3_49_71,50,1016,s3_1005_1025,1009,31,s2_3_15,10,29,s2_12_22,52,s1_below_4,5,Rain-Snow,s1_below_104
2013-3-1,13,s1_below_10,2,1,s3_n5_4,-3,75,s3_49_71,29,1018,s3_1005_1025,1010,31,s2_3_15,10,26,s2_12_22,,s1_below_4,3,,s1_below_104
2013-3-2,14,s1_below_10,-3,1,s3_n5_4,-4,100,s3_49_71,36,1021,s3_1005_1025,1015,31,s2_3_15,10,10,s1_below_12,23,s1_below_4,3,,s4_297_up
2013-3-3,14,s1_below_10,3,4,s3_n5_4,0,87,s3_49_71,38,1018,s3_1005_1025,1011,31,s2_3_15,10,21,s1_below_12,27,s1_below_4,2,,s2_104_183
2013-3-4,13,s1_below_10,4,8,s3_n5_4,2,100,s4_71_up,39,1011,s2_991_1005,999,31,s2_3_15,8,39,s1_below_12,61,s2_4_17,6,Rain,s1_below_104
2013-3-5,14,s2_10_14,7,11,s4_4_up,7,100,s4_71_up,68,999,s2_991_1005,995,31,s2_3_15,4,23,s1_below_12,50,s2_4_17,5,Rain,s2_104_183
2013-3-6,15,s2_10_14,7,12,s4_4_up,7,100,s4_71_up,61,1004,s2_991_1005,996,31,s2_3_15,3,37,s1_below_12,53,s1_below_4,5,Fog-Rain,s3_183_297
2013-3-7,16,s2_10_14,9,14,s4_4_up,8,100,s4_71_up,62,1004,s2_991_1005,999,31,s2_3_15,2,61,s2_12_22,87,s2_4_17,5,Rain-Thunderstorm,s3_183_297
2013-3-8,11,s1_below_10,8,10,s4_4_up,7,100,s4_71_up,76,1009,s3_1005_1025,1005,31,s2_3_15,3,27,s2_12_22,47,s2_4_17,5,Rain,s3_183_297
2013-3-9,14,s2_10_14,7,9,s4_4_up,4,100,s4_71_up,48,1010,s3_1005_1025,1005,31,s2_3_15,2,29,s2_12_22,71,s1_below_4,4,Rain,s3_183_297
2013-3-10,12,s1_below_10,7,7,s4_4_up,3,100,s4_71_up,54,1008,s3_1005_1025,1005,31,s2_3_15,2,37,s2_12_22,60,s1_below_4,3,Rain,s3_183_297
2013-3-11,13,s1_below_10,6,5,s3_n5_4,3,93,s4_71_up,51,1008,s3_1005_1025,1004,31,s2_3_15,10,42,s3_22_28,64,s1_below_4,2,,s3_183_297
2013-3-12,12,s1_below_10,4,5,s3_n5_4,0,87,s3_49_71,41,1008,s2_991_1005,1000,31,s2_3_15,10,29,s2_12_22,53,s1_below_4,2,,s3_183_297
2013-3-13,7,s1_below_10,2,0,s3_n5_4,-9,70,s3_49_71,22,1014,s3_1005_1025,999,31,s2_3_15,10,40,s3_22_28,63,s1_below_4,2,,s4_297_up
2013-3-14,10,s1_below_10,-1,-2,s3_n5_4,-6,75,s3_49_71,25,1019,s3_1005_1025,1014,31,s2_3_15,10,32,s2_12_22,45,s1_below_4,2,,s4_297_up
2013-3-15,13,s1_below_10,-1,0,s3_n5_4,-5,86,s3_49_71,24,1021,s3_1005_1025,1015,31,s2_3_15,10,14,s1_below_12,,s1_below_4,1,,s2_104_183
2013-3-16,11,s1_below_10,6,4,s3_n5_4,-2,87,s3_49_71,48,1015,s3_1005_1025,1008,31,s2_3_15,10,23,s1_below_12,48,s1_below_4,5,Rain,s3_183_297
2013-3-17,11,s1_below_10,6,9,s4_4_up,4,100,s4_71_up,71,1008,s2_991_1005,998,31,s2_3_15,2,19,s1_below_12,47,s1_below_4,5,Rain,s3_183_297
2013-3-18,13,s1_below_10,4,3,s3_n5_4,-4,81,s3_49_71,31,1008,s3_1005_1025,1000,31,s2_3_15,10,29,s2_12_22,50,s1_below_4,1,,s3_183_297
2013-3-19,12,s1_below_10,0,8,s3_n5_4,-2,100,s4_71_up,51,1009,s2_991_1005,1000,31,s2_3_15,3,23,s1_below_12,39,s1_below_4,4,Rain,s4_297_up
2013-3-20,14,s1_below_10,3,7,s3_n5_4,1,100,s3_49_71,35,1019,s3_1005_1025,1001,31,s2_3_15,3,19,s1_below_12,37,s1_below_4,3,,s3_183_297
2013-3-21,15,s1_below_10,1,5,s3_n5_4,-1,100,s3_49_71,42,1021,s3_1005_1025,1012,31,s3_15_23,10,13,s1_below_12,32,s1_below_4,2,,s1_below_104
2013-3-22,12,s1_below_10,2,9,s4_4_up,1,100,s4_71_up,56,1012,s3_1005_1025,1007,31,s2_3_15,3,24,s1_below_12,50,s1_below_4,4,Rain,s3_183_297
2013-3-23,14,s1_below_10,4,8,s4_4_up,2,100,s4_71_up,44,1009,s2_991_1005,1001,31,s2_3_15,5,26,s1_below_12,55,s1_below_4,4,Rain,s2_104_183
2013-3-24,14,s1_below_10,7,7,s4_4_up,4,100,s4_71_up,46,1009,s2_991_1005,1002,31,s2_3_15,6,35,s1_below_12,58,s1_below_4,4,Rain,s3_183_297
2013-3-25,12,s1_below_10,5,10,s4_4_up,1,94,s4_71_up,56,1013,s3_1005_1025,1007,31,s2_3_15,10,47,s2_12_22,72,s1_below_4,5,Rain,s3_183_297
2013-3-26,14,s2_10_14,9,12,s4_4_up,9,100,s4_71_up,71,1008,s3_1005_1025,1003,31,s2_3_15,8,45,s3_22_28,69,s1_below_4,5,Rain,s3_183_297
2013-3-27,16,s2_10_14,9,10,s4_4_up,7,100,s4_71_up,49,1005,s2_991_1005,1002,31,s2_3_15,3,35,s2_12_22,53,s1_below_4,4,Rain,s3_183_297
2013-3-28,16,s2_10_14,10,10,s4_4_up,7,94,s4_71_up,53,1013,s3_1005_1025,1005,31,s2_3_15,10,35,s2_12_22,61,s1_below_4,3,Rain,s3_183_297
2013-3-29,15,s2_10_14,9,13,s4_4_up,7,100,s4_71_up,64,1013,s3_1005_1025,1006,31,s2_3_15,4,39,s3_22_28,52,s1_below_4,5,Rain,s3_183_297
2013-3-30,17,s2_10_14,9,11,s4_4_up,1,88,s3_49_71,28,1014,s3_1005_1025,1010,31,s2_3_15,10,35,s2_12_22,52,s1_below_4,3,,s3_183_297
2013-3-31,16,s2_10_14,7,11,s4_4_up,5,100,s4_71_up,52,1013,s3_1005_1025,999,26,s2_3_15,7,23,s2_12_22,48,s1_below_4,4,Rain,s3_183_297
2013-4-1,13,s2_10_14,8,11,s4_4_up,1,100,s3_49_71,35,1008,s2_991_1005,999,31,s2_3_15,3,42,s2_12_22,48,s2_4_17,3,Rain-Thunderstorm,s3_183_297
2013-4-2,14,s1_below_10,5,6,s3_n5_4,2,87,s3_49_71,44,1011,s3_1005_1025,1008,31,s2_3_15,3,24,s2_12_22,48,s1_below_4,2,Rain,s3_183_297
2013-4-3,14,s1_below_10,3,9,s4_4_up,2,100,s4_71_up,43,1011,s2_991_1005,1001,31,s2_3_15,4,34,s1_below_12,53,s2_4_17,4,Rain,s3_183_297
2013-4-4,14,s1_below_10,6,8,s4_4_up,4,100,s4_71_up,41,1003,s2_991_1005,1000,31,s2_3_15,5,29,s1_below_12,40,s1_below_4,4,Rain,s3_183_297
2013-4-5,10,s1_below_10,4,7,s3_n5_4,-4,100,s3_49_71,29,1013,s3_1005_1025,1002,31,s2_3_15,6,29,s2_12_22,,s1_below_4,4,Rain,s1_below_104
2013-4-6,11,s1_below_10,0,0,s3_n5_4,-4,81,s3_49_71,31,1020,s3_1005_1025,1014,31,s2_3_15,10,23,s1_below_12,34,s1_below_4,2,,s4_297_up
2013-4-7,13,s1_below_10,-2,3,s3_n5_4,-3,100,s3_49_71,36,1023,s3_1005_1025,1014,31,s3_15_23,10,16,s1_below_12,39,s1_below_4,3,,s3_183_297
2013-4-8,15,s2_10_14,8,8,s3_n5_4,0,87,s3_49_71,31,1014,s3_1005_1025,1011,31,s2_3_15,10,29,s2_12_22,47,s1_below_4,3,Rain,s3_183_297
2013-4-9,14,s2_10_14,7,9,s4_4_up,3,82,s3_49_71,53,1016,s3_1005_1025,1012,31,s2_3_15,10,35,s3_22_28,63,s1_below_4,1,,s3_183_297
2013-4-10,17,s2_10_14,9,11,s4_4_up,7,94,s4_71_up,56,1019,s3_1005_1025,1016,31,s2_3_15,10,39,s2_12_22,58,s1_below_4,3,,s3_183_297
2013-4-11,17,s2_10_14,11,12,s4_4_up,5,94,s4_71_up,42,1018,s3_1005_1025,1013,31,s2_3_15,10,42,s2_12_22,72,s1_below_4,3,,s3_183_297
2013-4-12,16,s2_10_14,5,9,s4_4_up,0,100,s3_49_71,30,1019,s3_1005_1025,1016,31,s2_3_15,10,24,s2_12_22,61,s1_below_4,2,,s3_183_297
2013-4-13,22,s2_10_14,3,7,s4_4_up,2,100,s3_49_71,22,1024,s3_1005_1025,1018,31,s4_23_up,18,10,s1_below_12,,s1_below_4,,,s1_below_104
2013-4-14,26,s3_14_24,6,10,s4_4_up,2,81,s3_49_71,21,1024,s3_1005_1025,1015,31,s4_23_up,31,23,s1_below_12,39,s1_below_4,,,s2_104_183
2013-4-15,24,s3_14_24,9,12,s4_4_up,5,82,s3_49_71,34,1024,s3_1005_1025,1019,31,s2_3_15,10,23,s1_below_12,63,s1_below_4,1,,s3_183_297
2013-4-16,25,s3_14_24,9,12,s4_4_up,5,94,s3_49_71,21,1023,s3_1005_1025,1017,31,s4_23_up,14,16,s1_below_12,39,s1_below_4,,,s3_183_297
2013-4-17,28,s3_14_24,9,12,s4_4_up,5,94,s3_49_71,18,1023,s3_1005_1025,1016,31,s4_23_up,31,23,s1_below_12,39,s1_below_4,,,s3_183_297
2013-4-18,27,s3_14_24,8,13,s4_4_up,-2,93,s3_49_71,9,1022,s3_1005_1025,1014,31,s3_15_23,10,23,s1_below_12,42,s1_below_4,1,,s3_183_297
2013-4-19,18,s2_10_14,10,9,s4_4_up,-2,82,s3_49_71,23,1025,s3_1005_1025,1018,31,s3_15_23,10,26,s1_below_12,50,s1_below_4,2,,s1_below_104
2013-4-20,20,s2_10_14,2,0,s3_n5_4,-6,65,s2_35_49,10,1028,s3_1005_1025,1017,31,s4_23_up,27,24,s2_12_22,39,s1_below_4,,,s1_below_104
2013-4-21,21,s2_10_14,2,1,s3_n5_4,-5,70,s2_35_49,13,1022,s3_1005_1025,1014,31,s4_23_up,31,19,s1_below_12,26,s1_below_4,,,s1_below_104
2013-4-22,19,s2_10_14,9,2,s3_n5_4,-6,47,s1_below_35,15,1019,s3_1005_1025,1013,31,s4_23_up,26,27,s1_below_12,,s1_below_4,,,s1_below_104
2013-4-23,21,s2_10_14,5,5,s3_n5_4,1,81,s2_35_49,17,1023,s3_1005_1025,1017,31,s3_15_23,10,14,s1_below_12,26,s1_below_4,1,,s1_below_104
2013-4-24,22,s2_10_14,4,6,s3_n5_4,0,87,s3_49_71,19,1026,s3_1005_1025,1017,31,s2_3_15,10,14,s1_below_12,,s1_below_4,1,,s1_below_104
2013-4-25,21,s2_10_14,6,9,s3_n5_4,-8,66,s2_35_49,33,1023,s3_1005_1025,1015,31,s2_3_15,10,24,s1_below_12,50,s1_below_4,3,,s1_below_104
2013-4-26,19,s3_14_24,11,11,s4_4_up,8,82,s3_49_71,42,1019,s3_1005_1025,1011,31,s2_3_15,10,21,s1_below_12,,s2_4_17,2,Rain,s1_below_104
2013-4-27,14,s1_below_10,6,11,s3_n5_4,-4,100,s3_49_71,26,1012,s3_1005_1025,1006,31,s2_3_15,5,37,s2_12_22,50,s2_4_17,5,Rain,s1_below_104
2013-4-28,8,s1_below_10,2,1,s3_n5_4,-4,75,s3_49_71,46,1011,s3_1005_1025,1008,31,s2_3_15,10,29,s2_12_22,53,s1_below_4,4,Rain,s1_below_104
2013-4-29,12,s1_below_10,3,8,s3_n5_4,0,100,s4_71_up,55,1011,s3_1005_1025,1007,31,s2_3_15,7,32,s2_12_22,63,s1_below_4,5,Rain,s1_below_104
2013-4-30,14,s1_below_10,6,7,s3_n5_4,3,93,s4_71_up,51,1013,s3_1005_1025,1010,31,s2_3_15,8,14,s1_below_12,,s1_below_4,4,Rain,s1_below_104
2013-5-1,15,s2_10_14,6,9,s4_4_up,4,100,s4_71_up,40,1018,s3_1005_1025,1013,31,s2_3_15,7,14,s1_below_12,47,s1_below_4,3,Rain,s1_below_104
2013-5-2,17,s1_below_10,2,8,s3_n5_4,1,100,s3_49_71,32,1021,s3_1005_1025,1017,31,s2_3_15,10,14,s1_below_12,,s1_below_4,4,,s4_297_up
2013-5-3,20,s2_10_14,4,6,s3_n5_4,2,87,s3_49_71,28,1022,s3_1005_1025,1017,31,s2_3_15,10,13,s1_below_12,,s1_below_4,2,,s1_below_104
2013-5-4,22,s2_10_14,5,8,s3_n5_4,2,87,s3_49_71,23,1022,s3_1005_1025,1016,31,s2_3_15,10,13,s1_below_12,,s1_below_4,1,,s1_below_104
2013-5-5,24,s2_10_14,5,7,s3_n5_4,1,81,s2_35_49,18,1022,s3_1005_1025,1016,31,s3_15_23,10,14,s1_below_12,,s1_below_4,1,,s4_297_up
2013-5-6,24,s3_14_24,7,8,s4_4_up,2,81,s3_49_71,20,1023,s3_1005_1025,1017,31,s3_15_23,10,34,s1_below_12,53,s1_below_4,1,Rain,s3_183_297
2013-5-7,24,s3_14_24,13,10,s4_4_up,6,72,s3_49_71,31,1022,s3_1005_1025,1017,31,s2_3_15,10,26,s1_below_12,58,s1_below_4,2,,s3_183_297
2013-5-8,25,s3_14_24,15,12,s4_4_up,3,77,s2_35_49,25,1019,s3_1005_1025,1014,31,s3_15_23,10,26,s1_below_12,42,s1_below_4,2,,s3_183_297
2013-5-9,25,s3_14_24,13,12,s4_4_up,7,82,s3_49_71,30,1018,s3_1005_1025,1014,31,s2_3_15,10,40,s1_below_12,55,s1_below_4,3,,s3_183_297
2013-5-10,25,s3_14_24,13,12,s4_4_up,6,82,s3_49_71,25,1019,s3_1005_1025,1014,31,s2_3_15,10,24,s1_below_12,39,s1_below_4,3,,s3_183_297
2013-5-11,25,s3_14_24,9,9,s4_4_up,-4,82,s2_35_49,9,1020,s3_1005_1025,1015,31,s2_3_15,10,23,s1_below_12,26,s1_below_4,1,,s4_297_up
2013-5-12,26,s3_14_24,8,5,s3_n5_4,-2,71,s2_35_49,10,1023,s3_1005_1025,1015,31,s3_15_23,10,21,s1_below_12,35,s1_below_4,1,,s1_below_104
2013-5-13,27,s3_14_24,8,11,s4_4_up,1,71,s2_35_49,12,1022,s3_1005_1025,1012,31,s2_3_15,10,16,s1_below_12,26,s1_below_4,1,,s3_183_297
2013-5-14,24,s3_14_24,14,13,s4_4_up,5,82,s3_49_71,35,1016,s3_1005_1025,1005,31,s2_3_15,9,35,s1_below_12,34,s1_below_4,2,Rain-Thunderstorm,s2_104_183
2013-5-15,13,s1_below_10,8,13,s4_4_up,4,100,s4_71_up,52,1007,s2_991_1005,1001,31,s2_3_15,10,21,s1_below_12,32,s1_below_4,4,Rain,s2_104_183
2013-5-16,15,s1_below_10,3,6,s3_n5_4,-2,100,s3_49_71,21,1006,s2_991_1005,1000,31,s2_3_15,10,35,s1_below_12,40,s1_below_4,2,Thunderstorm,s3_183_297
2013-5-17,11,s1_below_10,7,7,s4_4_up,2,93,s4_71_up,54,1002,s2_991_1005,999,31,s2_3_15,6,26,s2_12_22,53,s2_4_17,5,Rain,s3_183_297
2013-5-18,14,s1_below_10,6,7,s3_n5_4,1,93,s3_49_71,31,1014,s3_1005_1025,1003,31,s2_3_15,8,34,s2_12_22,50,s1_below_4,4,Rain,s3_183_297
2013-5-19,15,s2_10_14,6,6,s3_n5_4,0,93,s3_49_71,31,1018,s3_1005_1025,1014,31,s2_3_15,10,24,s2_12_22,37,s1_below_4,2,Rain-Thunderstorm,s3_183_297
2013-5-20,17,s1_below_10,2,7,s3_n5_4,0,100,s4_71_up,26,1020,s3_1005_1025,1017,31,s2_3_15,10,16,s1_below_12,37,s1_below_4,2,Rain,s1_below_104
